500 seq 0.000670
500 par1 0.000656
500 par2 0.000875
1000 seq 0.003473
1000 par1 0.002246
1000 par2 0.003458
1500 seq 0.005900
1500 par1 0.006605
1500 par2 0.009324
2000 seq 0.010353
2000 par1 0.009376
2000 par2 0.017537
2500 seq 0.017880
2500 par1 0.014024
2500 par2 0.036241
3000 seq 0.029106
3000 par1 0.020240
3000 par2 0.031479
3500 seq 0.031905
3500 par1 0.027565
3500 par2 0.042959
4000 seq 0.052039
4000 par1 0.060428
4000 par2 0.060729
4500 seq 0.056346
4500 par1 0.046235
4500 par2 0.071996
5000 seq 0.070838
5000 par1 0.056491
5000 par2 0.087575
5500 seq 0.077436
5500 par1 0.069067
5500 par2 0.105110
6000 seq 0.115548
6000 par1 0.095322
6000 par2 0.126995
6500 seq 0.111921
6500 par1 0.094446
6500 par2 0.148785
7000 seq 0.127890
7000 par1 0.109053
7000 par2 0.187371
7500 seq 0.143892
7500 par1 0.125665
7500 par2 0.205068
8000 seq 0.163289
8000 par1 0.143656
8000 par2 0.250923
8500 seq 0.192787
8500 par1 0.193834
8500 par2 0.268381
9000 seq 0.232358
9000 par1 0.190801
9000 par2 0.307993
9500 seq 0.229642
9500 par1 0.200026
9500 par2 0.323436
10000 seq 0.253403
10000 par1 0.286912
10000 par2 0.398168
